"RoomCode","LocationCount","DepartmentCount","FACount","Departments","FAs","Locations"
"XDUS1","1","1","1","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM)","IMAGING SERVICE","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM) | IMAGING SERVICE"
"WTG02","1","1","1","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM)","IMAGING SERVICE","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM) | IMAGING SERVICE"
"CPL42","1","1","1","212 (PULMONARY MEDICINE SERVICE)","SUPPORT AREA","212 (PULMONARY MEDICINE SERVICE) | SUPPORT AREA"
"SV678","1","1","1","206 (VETERANS CANTEEN SERVICE (VCS))","CAFETERIA DINING AREA","206 (VETERANS CANTEEN SERVICE (VCS)) | CAFETERIA DINING AREA"
"SV697","1","1","1","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D))","SCI/D CENTER ACUTE CARE PATIENT CARE UNIT (AC-PCU) COMMON AREA","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)) | SCI/D CENTER ACUTE CARE PATIENT CARE UNIT (AC-PCU) COMMON AREA"
"CT153","1","1","1","270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE)","ASSISTIVE TECHNOLOGY (ATECH) AREA","270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE) | ASSISTIVE TECHNOLOGY (ATECH) AREA"
"CPR16","1","1","1","308 (PROSTHETICS AND SENSORY AIDS SERVICE)","PATIENT AREA","308 (PROSTHETICS AND SENSORY AIDS SERVICE) | PATIENT AREA"
"CEY97","2","2","2","206 (VETERANS CANTEEN SERVICE (VCS)); 233 (EYE CLINIC: OPHTHALMOLOGY AND OPTOMETRY SERVICES)","OPTICAL SHOP AREA; OPTICAL FITTING AREA","206 (VETERANS CANTEEN SERVICE (VCS)) | OPTICAL SHOP AREA; 233 (EYE CLINIC: OPHTHALMOLOGY AND OPTOMETRY SERVICES) | OPTICAL FITTING AREA"
"CEY55","1","1","1","233 (EYE CLINIC: OPHTHALMOLOGY AND OPTOMETRY SERVICES)","OPTOMETRY SERVICE PATIENT AREA","233 (EYE CLINIC: OPHTHALMOLOGY AND OPTOMETRY SERVICES) | OPTOMETRY SERVICE PATIENT AREA"
"EXOS1","1","1","1","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM)","AUDIOLOGY AND SPEECH-LANGUAGE PATHOLOGY CLINIC","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM) | AUDIOLOGY AND SPEECH-LANGUAGE PATHOLOGY CLINIC"
"RSH12","1","1","1","106 (SMALL HOUSE (SH) MODEL)","HOUSE RESIDENT AREA","106 (SMALL HOUSE (SH) MODEL) | HOUSE RESIDENT AREA"
"RSH31","1","1","1","106 (SMALL HOUSE (SH) MODEL)","HOUSE RESIDENT AREA","106 (SMALL HOUSE (SH) MODEL) | HOUSE RESIDENT AREA"
"SV131","1","1","1","220 (CREDIT UNION)","LOBBY AND TELLER AREA","220 (CREDIT UNION) | LOBBY AND TELLER AREA"
"CWV81","1","1","1","258 (WOMEN VETERANS CLINICAL SERVICE (WVCS) (FOR MODELS 2 AND 3))","IMAGING WOMEN HEALTH CENTER (WHC) (MODEL 3 ONLY) PATIENT AREA","258 (WOMEN VETERANS CLINICAL SERVICE (WVCS) (FOR MODELS 2 AND 3)) | IMAGING WOMEN HEALTH CENTER (WHC) (MODEL 3 ONLY) PATIENT AREA"
"ISC58","1","1","1","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D))","SCI/D CENTER ACUTE CARE / OUTPATIENT PHYSICAL THERAPY (AC/OP-PT) AREA","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)) | SCI/D CENTER ACUTE CARE / OUTPATIENT PHYSICAL THERAPY (AC/OP-PT) AREA"
"CED62","1","1","1","256 (EMERGENCY DEPARTMENT (ED))","SUPPORT AREA","256 (EMERGENCY DEPARTMENT (ED)) | SUPPORT AREA"
"CED41","1","1","1","256 (EMERGENCY DEPARTMENT (ED))","PATIENT AREA","256 (EMERGENCY DEPARTMENT (ED)) | PATIENT AREA"
"SS207","2","2","2","238 (MEDICAL CENTER DIRECTOR'S SUITE); 254 (NURSING SERVICE ADMINISTRATION)","STAFF AND ADMININSTRATIVE AREA; STAFF AND ADMINISTRATIVE AREA","238 (MEDICAL CENTER DIRECTOR'S SUITE) | STAFF AND ADMININSTRATIVE AREA; 254 (NURSING SERVICE ADMINISTRATION) | STAFF AND ADMINISTRATIVE AREA"
"RSC91","1","1","1","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D))","SCI/D CENTER LONG TERM CARE NEIGHBORHOOD CENTER ACTIVITIES OF DAILY LIVING (LTC-NC-ADL) AREA","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)) | SCI/D CENTER LONG TERM CARE NEIGHBORHOOD CENTER ACTIVITIES OF DAILY LIVING (LTC-NC-ADL) AREA"
"IST17","1","1","1","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D))","SCI/D CENTER SUPPORT AREA","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)) | SCI/D CENTER SUPPORT AREA"
"RPT41","1","1","1","111 (POLYTRAUMA REHABILITATION CENTER (PRC))","PRC RESIDENT CARE UNIT THERAPY AREA","111 (POLYTRAUMA REHABILITATION CENTER (PRC)) | PRC RESIDENT CARE UNIT THERAPY AREA"
"SB111","6","4","6","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)); 106 (SMALL HOUSE (SH) MODEL); 111 (POLYTRAUMA REHABILITATION CENTER (PRC)); 244 (LOBBY)","SCI/D CENTER LONG TERM CARE NEIGHBORHOOD CENTER (LTC-NC) RESIDENT AREA; NEIGHBORHOOD CENTER RECEPTION AREA; COMMUNITY CENTER RECEPTION AREA; PRC PATIENT CARE UNIT RECEPTION AREA; PRC RESIDENT CARE UNIT RECEPTION AREA; LOBBY AREA","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)) | SCI/D CENTER LONG TERM CARE NEIGHBORHOOD CENTER (LTC-NC) RESIDENT AREA; 106 (SMALL HOUSE (SH) MODEL) | NEIGHBORHOOD CENTER RECEPTION AREA; 106 (SMALL HOUSE (SH) MODEL) | COMMUNITY CENTER RECEPTION AREA; 111 (POLYTRAUMA REHABILITATION CENTER (PRC)) | PRC PATIENT CARE UNIT RECEPTION AREA; 111 (POLYTRAUMA REHABILITATION CENTER (PRC)) | PRC RESIDENT CARE UNIT RECEPTION AREA; 244 (LOBBY) | LOBBY AREA"
"CL286","1","1","1","240 (PATHOLOGY AND LABORATORY MEDICINE SERVICE)","CLINICAL PATHOLOGY WORK AREA","240 (PATHOLOGY AND LABORATORY MEDICINE SERVICE) | CLINICAL PATHOLOGY WORK AREA"
"SC798","1","1","1","278 (RESEARCH AND DEVELOPMENT (R&D))","VMU SUPPORT AREA","278 (RESEARCH AND DEVELOPMENT (R&D)) | VMU SUPPORT AREA"
"SC756","1","1","1","278 (RESEARCH AND DEVELOPMENT (R&D))","VMU SURGERY AREA","278 (RESEARCH AND DEVELOPMENT (R&D)) | VMU SURGERY AREA"
"SC773","1","1","1","278 (RESEARCH AND DEVELOPMENT (R&D))","VMU ANIMAL AREA","278 (RESEARCH AND DEVELOPMENT (R&D)) | VMU ANIMAL AREA"
"SB407","1","1","1","230 (ENGINEERING SERVICE)","SHOP AREA","230 (ENGINEERING SERVICE) | SHOP AREA"
"OPAE2","1","1","1","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM)","AUDIOLOGY AND SPEECH-LANGUAGE PATHOLOGY CLINIC","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM) | AUDIOLOGY AND SPEECH-LANGUAGE PATHOLOGY CLINIC"
"IMS27","1","1","1","100 (MEDICAL / SURGICAL PATIENT CARE UNIT (M/S PCU))","PATIENT AREA","100 (MEDICAL / SURGICAL PATIENT CARE UNIT (M/S PCU)) | PATIENT AREA"
"CT133","1","1","1","270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE)","ASSISTIVE TECHNOLOGY (ATECH) AREA","270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE) | ASSISTIVE TECHNOLOGY (ATECH) AREA"
"SC873","1","1","1","285 (STERILE PROCESSING SERVICE)","DECONTAMINATION AREA","285 (STERILE PROCESSING SERVICE) | DECONTAMINATION AREA"
"CED36","1","1","1","256 (EMERGENCY DEPARTMENT (ED))","PATIENT AREA","256 (EMERGENCY DEPARTMENT (ED)) | PATIENT AREA"
"CT374","1","1","1","269 (RECREATION THERAPY SERVICE)","AQUATIC THERAPY AREA","269 (RECREATION THERAPY SERVICE) | AQUATIC THERAPY AREA"
"RPT33","1","1","1","111 (POLYTRAUMA REHABILITATION CENTER (PRC))","PRC RESIDENT CARE UNIT RESIDENT AND FAMILY SUPPORT AREA","111 (POLYTRAUMA REHABILITATION CENTER (PRC)) | PRC RESIDENT CARE UNIT RESIDENT AND FAMILY SUPPORT AREA"
"CS242","2","1","2","286 (SURGICAL / ENDOVASCULAR SERVICES)","INPATIENT (IP) SURGICAL / ENDOVASCULAR POST ANESTHESIA CARE UNIT (PACU) / PHASE I RECOVERY PATIENT AREA; AMBULATORY SURGERY CENTER (ASC) POST-ANESTHESIA CARE UNIT (PACU) / PHASE I RECOVERY PATIENT AREA","286 (SURGICAL / ENDOVASCULAR SERVICES) | INPATIENT (IP) SURGICAL / ENDOVASCULAR POST ANESTHESIA CARE UNIT (PACU) / PHASE I RECOVERY PATIENT AREA; 286 (SURGICAL / ENDOVASCULAR SERVICES) | AMBULATORY SURGERY CENTER (ASC) POST-ANESTHESIA CARE UNIT (PACU) / PHASE I RECOVERY PATIENT AREA"
"CS185","2","1","2","286 (SURGICAL / ENDOVASCULAR SERVICES)","INPATIENT (IP) SURGICAL PATIENT AREA; INPATIENT (IP) ENDOVASCULAR PATIENT AREA","286 (SURGICAL / ENDOVASCULAR SERVICES) | INPATIENT (IP) SURGICAL PATIENT AREA; 286 (SURGICAL / ENDOVASCULAR SERVICES) | INPATIENT (IP) ENDOVASCULAR PATIENT AREA"
"SC821","1","1","1","278 (RESEARCH AND DEVELOPMENT (R&D))","R&D SUPPORT AREA","278 (RESEARCH AND DEVELOPMENT (R&D)) | R&D SUPPORT AREA"
"CS211","1","1","1","286 (SURGICAL / ENDOVASCULAR SERVICES)","INPATIENT (IP) ENDOVASCULAR PATIENT AREA","286 (SURGICAL / ENDOVASCULAR SERVICES) | INPATIENT (IP) ENDOVASCULAR PATIENT AREA"
"CI223","1","1","1","295 (IMAGING SERVICES)","NUCLEAR MEDICINE (NM) AREA","295 (IMAGING SERVICES) | NUCLEAR MEDICINE (NM) AREA"
"SB164","1","1","1","240 (PATHOLOGY AND LABORATORY MEDICINE SERVICE)","PATIENT SPECIMEN COLLECTION AREA","240 (PATHOLOGY AND LABORATORY MEDICINE SERVICE) | PATIENT SPECIMEN COLLECTION AREA"
"CI405","1","1","1","295 (IMAGING SERVICES)","IMAGING SERVICES STAFF AND ADMINISTRATIVE AREA","295 (IMAGING SERVICES) | IMAGING SERVICES STAFF AND ADMINISTRATIVE AREA"
"SB187","1","1","1","270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE)","AQUATIC THERAPY (AT) AREA","270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE) | AQUATIC THERAPY (AT) AREA"
"EXAU1","1","1","1","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM)","AUDIOLOGY AND SPEECH-LANGUAGE PATHOLOGY CLINIC","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM) | AUDIOLOGY AND SPEECH-LANGUAGE PATHOLOGY CLINIC"
"CED29","1","1","1","256 (EMERGENCY DEPARTMENT (ED))","PATIENT AREA","256 (EMERGENCY DEPARTMENT (ED)) | PATIENT AREA"
"SV508","1","1","1","268 (PHARMACY SERVICE)","INPATIENT PHARMACY WORK AREA","268 (PHARMACY SERVICE) | INPATIENT PHARMACY WORK AREA"
"SC729","1","1","1","278 (RESEARCH AND DEVELOPMENT (R&D))","CSR&D SERVICE STAFF AREA","278 (RESEARCH AND DEVELOPMENT (R&D)) | CSR&D SERVICE STAFF AREA"
"RSH41","1","1","1","106 (SMALL HOUSE (SH) MODEL)","HOUSE RESIDENT AREA","106 (SMALL HOUSE (SH) MODEL) | HOUSE RESIDENT AREA"
"RSH62","1","1","1","106 (SMALL HOUSE (SH) MODEL)","NEIGHBORHOOD CENTER RESIDENT AREA","106 (SMALL HOUSE (SH) MODEL) | NEIGHBORHOOD CENTER RESIDENT AREA"
"SV639","1","1","1","206 (VETERANS CANTEEN SERVICE (VCS))","FOOD COURT SUPPORT AREA","206 (VETERANS CANTEEN SERVICE (VCS)) | FOOD COURT SUPPORT AREA"
"SC256","1","1","1","233 (EYE CLINIC: OPHTHALMOLOGY AND OPTOMETRY SERVICES)","OPTOMETRY SERVICE STAFF AND ADMINISTRATIVE AREA","233 (EYE CLINIC: OPHTHALMOLOGY AND OPTOMETRY SERVICES) | OPTOMETRY SERVICE STAFF AND ADMINISTRATIVE AREA"
"SC294","1","1","1","212 (PULMONARY MEDICINE SERVICE)","SLEEP STUDY PATIENT AREA","212 (PULMONARY MEDICINE SERVICE) | SLEEP STUDY PATIENT AREA"
"SB142","1","1","1","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D))","SCI/D CENTER ACUTE CARE PATIENT CARE UNIT (AC-PCU) PATIENT AREA","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)) | SCI/D CENTER ACUTE CARE PATIENT CARE UNIT (AC-PCU) PATIENT AREA"
"CI226","1","1","1","295 (IMAGING SERVICES)","NUCLEAR MEDICINE (NM) AREA","295 (IMAGING SERVICES) | NUCLEAR MEDICINE (NM) AREA"
"RMH48","1","1","1","312 (MENTAL HEALTH RESIDENT CARE UNIT (MH RCU))","COMMON RESIDENT SERVICES AREA","312 (MENTAL HEALTH RESIDENT CARE UNIT (MH RCU)) | COMMON RESIDENT SERVICES AREA"
"ISC27","1","1","1","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D))","SCI/D CENTER ACUTE CARE PATIENT CARE UNIT (AC-PCU) COMMON AREA","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)) | SCI/D CENTER ACUTE CARE PATIENT CARE UNIT (AC-PCU) COMMON AREA"
"SC714","1","1","1","278 (RESEARCH AND DEVELOPMENT (R&D))","BLR&D SERVICE SUPPORT AREA","278 (RESEARCH AND DEVELOPMENT (R&D)) | BLR&D SERVICE SUPPORT AREA"
"RSC15","1","1","1","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D))","SCI/D CENTER LONG TERM CARE HOME (LTC-H) RESIDENT AREA","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)) | SCI/D CENTER LONG TERM CARE HOME (LTC-H) RESIDENT AREA"
"RMH39","1","1","1","312 (MENTAL HEALTH RESIDENT CARE UNIT (MH RCU))","COMMON RESIDENT SERVICES AREA","312 (MENTAL HEALTH RESIDENT CARE UNIT (MH RCU)) | COMMON RESIDENT SERVICES AREA"
"SB255","2","1","2","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D))","SCI/D CENTER ACUTE CARE PATIENT CARE UNIT (AC-PCU) SUPPORT AREA; SCI/D CENTER LONG TERM CARE HOME (LTC-H) SUPPORT AREA","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)) | SCI/D CENTER ACUTE CARE PATIENT CARE UNIT (AC-PCU) SUPPORT AREA; 104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)) | SCI/D CENTER LONG TERM CARE HOME (LTC-H) SUPPORT AREA"
"CT211","1","1","1","270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE)","PMR SVC SUPPORT AREA","270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE) | PMR SVC SUPPORT AREA"
"CDS91","1","1","1","222 (DENTAL SERVICE)","DENTAL LABORATORIES","222 (DENTAL SERVICE) | DENTAL LABORATORIES"
"IPT03","1","1","1","111 (POLYTRAUMA REHABILITATION CENTER (PRC))","PRC PATIENT CARE UNIT PATIENT AREA","111 (POLYTRAUMA REHABILITATION CENTER (PRC)) | PRC PATIENT CARE UNIT PATIENT AREA"
"OPT36","1","1","1","111 (POLYTRAUMA REHABILITATION CENTER (PRC))","OUTPATIENT UNIT THERAPY AREA","111 (POLYTRAUMA REHABILITATION CENTER (PRC)) | OUTPATIENT UNIT THERAPY AREA"
"OPT15","1","1","1","111 (POLYTRAUMA REHABILITATION CENTER (PRC))","OUTPATIENT UNIT PATIENT AREA","111 (POLYTRAUMA REHABILITATION CENTER (PRC)) | OUTPATIENT UNIT PATIENT AREA"
