Chapter	FA Number	FA Name	Room ID	Room Code	Room Name	Floor	Base	Wall	Wain	Ceiling	Door	Hardware
214	5	Infectious Diseases Area	1876	OFA07	Workstation, Resident	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	5	Infectious Diseases Area	1877	TLTU1	Toilet, Staff	"m:PT m:RES [74] m:PT [7] h:4"" m:RES [7] h:4"""		m:GWB [7, 64] f:P	"m:PT [7] h:4'-0"" m:CT [7] h:4'-0"""	m:AT	m:Wood t:1 s:S	hw:2 [71]
214	5	Infectious Diseases Area	1878	SRS01	Storage Room	m:VT	"m:RB h:4"""	m:GWB f:P		m:AT	m:Wood t:11 dg:F s:S	hw:5B
214	6	Homeless / Compensated Work Therapy (CWT) Area	1879	OFDC2	Interview Room	m:CPT [6]	m:PRB	m:GWB [5, 64] f:P		m:AT	m:Wood t:19 dg:T s:V	hw:3G
214	6	Homeless / Compensated Work Therapy (CWT) Area	1880	OFA09	Office, Homeless / Compensated Work Therapy (CWT) Chief	m:CPT [6]	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:19 dg:T s:S	hw:3G SECTION III – ROOM FINISHES, DOOR, AND HARDWARE SCHEDULE -141 Program Guide Room Finishes, Door, & Hardware Schedule PG 18-14 July 2016 ID Rm Cde Space Name Floor Base Wall Wain Ceiling Door HW Nr
214	6	Homeless / Compensated Work Therapy (CWT) Area	1881	OFA09	Office, Homeless / Compensated Work Therapy (CWT) Assistant Chief [2]	m:CPT [6]	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:1 dg:T s:S	hw:3E
214	6	Homeless / Compensated Work Therapy (CWT) Area	1882	OFA07	Workstation, Secretary	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	6	Homeless / Compensated Work Therapy (CWT) Area	1883	OFA07	Workstation, Clerical	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	6	Homeless / Compensated Work Therapy (CWT) Area	1884	OFA07	Workstation, Staff Physician	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	6	Homeless / Compensated Work Therapy (CWT) Area	1885	OFA07	Workstation, Resident	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	6	Homeless / Compensated Work Therapy (CWT) Area	1886	TLTU1	Toilet, Staff	"m:PT m:RES [74] m:PT [7] h:4"" m:RES [7] h:4"""		m:GWB [7, 64] f:P	"m:PT [7] h:4'-0"" m:CT [7] h:4'-0"""	m:AT	m:Wood t:1 s:S	hw:2 [71]
214	6	Homeless / Compensated Work Therapy (CWT) Area	1887	SRS01	Storage Room	m:VT	"m:RB h:4"""	m:GWB f:P		m:AT	m:Wood t:11 dg:F s:V	hw:5B
214	7	Neurology Service Area	1888	OFDC2	Interview Room	m:CPT [6]	m:PRB [8]	m:GWB [5, 64] f:P		m:AT	m:Wood t:19 dg:T s:V	hw:3G
214	7	Neurology Service Area	1889	OFA09	Office, Neurology Service Chief	m:CPT [6]	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:19 dg:T s:S	hw:3G SECTION III – ROOM FINISHES, DOOR, AND HARDWARE SCHEDULE -142 Program Guide Room Finishes, Door, & Hardware Schedule PG 18-14 July 2016 ID Rm Cde Space Name Floor Base Wall Wain Ceiling Door HW Nr
214	7	Neurology Service Area	1890	OFA09	Office, Neurology Service Assistant Chief [2]	m:CPT [6]	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:1 dg:T s:S	hw:3E
214	7	Neurology Service Area	1891	OFA07	Workstation, Secretary	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	7	Neurology Service Area	1892	OFA07	Workstation, Clerical	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	7	Neurology Service Area	1893	OFA07	Workstation, Staff Physician	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	7	Neurology Service Area	1894	OFA07	Workstation, Resident	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	7	Neurology Service Area	1895	TLTU1	Toilet, Staff	"m:PT m:RES [74] m:PT [7] h:4"" m:RES [7] h:4"""		m:GWB [7, 64] f:P	"m:PT [7] h:4'-0"" m:CT [7] h:4'-0"""	m:AT	m:Wood t:1 s:S	hw:2 [71]
214	7	Neurology Service Area	1896	SRS01	Storage Room	m:VT	"m:RB h:4"""	m:GWB f:P		m:AT	m:Wood t:11 dg:F s:V	hw:5B
214	8	Dermatology Service Area	1897	OFDC2	Interview Room	m:CPT [6]	m:PRB [8]	m:GWB [5, 64] f:P		m:AT	m:Wood t:19 dg:T s:V	hw:3G
214	8	Dermatology Service Area	1898	OFA09	Office, Dermatology Service Chief	m:CPT [6]	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:19 dg:T s:S	hw:3G
214	8	Dermatology Service Area	1899	OFA09	Office, Dermatology Service Assistant Chief [2]	m:CPT [6]	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:1 dg:T s:S	hw:3E SECTION III – ROOM FINISHES, DOOR, AND HARDWARE SCHEDULE -143 Program Guide Room Finishes, Door, & Hardware Schedule PG 18-14 July 2016 ID Rm Cde Space Name Floor Base Wall Wain Ceiling Door HW Nr
214	8	Dermatology Service Area	1900	OFA07	Workstation, Secretary	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	8	Dermatology Service Area	1901	OFA07	Workstation, Clerical	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	8	Dermatology Service Area	1902	OFA07	Workstation, Staff Physician	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	8	Dermatology Service Area	1903	OFA07	Workstation, Resident	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	8	Dermatology Service Area	1904	TLTU1	Toilet, Staff	"m:PT m:RES [74] m:PT [7] h:4"" m:RES [7] h:4"""		m:GWB [7, 64] f:P	"m:PT [7] h:4'-0"" m:CT [7] h:4'-0"""	m:AT	m:Wood t:1 s:S	hw:2 [71]
214	8	Dermatology Service Area	1905	SRS01	Storage Room	m:VT	"m:RB h:4"""	m:GWB f:P		m:AT	m:Wood t:11 dg:F s:V	hw:5B
214	9	Geriatrics Home Based Primary Care (HBPC) Area	1906	OFDC2	Interview Room	m:CPT [6]	m:PRB [8]	m:GWB [5, 64] f:P		m:AT	m:Wood t:19 dg:T s:V	hw:3G
214	9	Geriatrics Home Based Primary Care (HBPC) Area	1907	OFA09	Office, Geriatrics Home Base Primary Care (HBPC) Chief	m:CPT [6]	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:19 dg:T s:S	hw:3G
214	9	Geriatrics Home Based Primary Care (HBPC) Area	1908	OFA09	Office, Geriatrics Home Base Primary Care (HBPC) Assistant Chief [2]	m:CPT [6]	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:1 dg:T s:S	hw:3E
214	9	Geriatrics Home Based Primary Care (HBPC) Area	1909	OFA07	Workstation, Secretary	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A SECTION III – ROOM FINISHES, DOOR, AND HARDWARE SCHEDULE -144 Program Guide Room Finishes, Door, & Hardware Schedule PG 18-14 July 2016 ID Rm Cde Space Name Floor Base Wall Wain Ceiling Door HW Nr
214	9	Geriatrics Home Based Primary Care (HBPC) Area	1910	OFA07	Workstation, Clerical	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	9	Geriatrics Home Based Primary Care (HBPC) Area	1911	OFA07	Workstation, Staff Physician	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	9	Geriatrics Home Based Primary Care (HBPC) Area	1912	OFA07	Workstation, Resident	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	9	Geriatrics Home Based Primary Care (HBPC) Area	1913	TLTU1	Toilet, Staff	"m:PT m:RES [74] m:PT [7] h:4"" m:RES [7] h:4"""		m:GWB [7, 64] f:P	"m:PT [7] h:4'-0"" m:CT [7] h:4'-0"""	m:AT	m:Wood t:1 s:S	hw:2 [71]
214	9	Geriatrics Home Based Primary Care (HBPC) Area	1914	SRS01	Storage Room	m:VT	"m:RB h:4"""	m:GWB f:P		m:AT	m:Wood t:11 dg:F s:V	hw:5B
214	10	Oncology Service Area	1915	OFDC2	Interview Room	m:CPT [6]	m:PRB [8]	m:GWB [5, 64] f:P		m:AT	m:Wood t:19 dg:T s:V	hw:3G
214	10	Oncology Service Area	1916	OFA09	Office, Oncology Service Chief	m:CPT [6]	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:19 dg:T s:V	hw:3G
214	10	Oncology Service Area	1917	OFA09	Office, Oncology Service Assistant Chief [2]	m:CPT [6]	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:1 dg:T s:S	hw:3E
214	10	Oncology Service Area	1918	OFA07	Workstation, Secretary	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	10	Oncology Service Area	1919	OFA07	Workstation, Clerical	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A SECTION III – ROOM FINISHES, DOOR, AND HARDWARE SCHEDULE -145 Program Guide Room Finishes, Door, & Hardware Schedule PG 18-14 July 2016 ID Rm Cde Space Name Floor Base Wall Wain Ceiling Door HW Nr
214	10	Oncology Service Area	1920	OFA07	Workstation, Staff Physician	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	10	Oncology Service Area	1921	OFA07	Workstation, Resident	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	10	Oncology Service Area	1922	TLTU1	Toilet, Staff	"m:PT m:RES [74] m:PT [7] h:4"" m:RES [7] h:4"""		m:GWB [7, 64] f:P	"m:PT [7] h:4'-0"" m:CT [7] h:4'-0"""	m:AT	m:Wood t:1 s:S	hw:2 [71]
214	10	Oncology Service Area	1923	SRS01	Storage Room	m:VT	"m:RB h:4"""	m:GWB f:P		m:AT	m:Wood t:11 dg:F s:V	hw:5B
214	11	Mental Health Telepsychiatry Area	1924	OFDC2	Interview Room	m:CPT [6]	m:PRB [8]	m:GWB [5, 64] f:P		m:AT	m:Wood t:19 dg:T s:V	hw:3G
214	11	Mental Health Telepsychiatry Area	1925	OFA09	Office, Mental Health Telepsychiatry Chief	m:CPT [6]	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:19 dg:T s:S	hw:3G
214	11	Mental Health Telepsychiatry Area	1926	OFA09	Office, Mental Health Telepsychiatry Assistant Chief [2]	m:CPT [6]	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:1 dg:T s:S	hw:3E
214	11	Mental Health Telepsychiatry Area	1927	OFA07	Workstation, Secretary	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	11	Mental Health Telepsychiatry Area	1928	OFA07	Workstation, Clerical	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	11	Mental Health Telepsychiatry Area	1929	OFA07	Workstation, Staff Physician	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A SECTION III – ROOM FINISHES, DOOR, AND HARDWARE SCHEDULE -146 Program Guide Room Finishes, Door, & Hardware Schedule PG 18-14 July 2016 ID Rm Cde Space Name Floor Base Wall Wain Ceiling Door HW Nr
214	11	Mental Health Telepsychiatry Area	1930	OFA07	Workstation, Resident	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	11	Mental Health Telepsychiatry Area	1931	TLTU1	Toilet, Staff	"m:PT m:RES [74] m:PT [7] h:4"" m:RES [7] h:4"""		m:GWB [7, 64] f:P	"m:PT [7] h:4'-0"" m:CT [7] h:4'-0"""	m:AT	m:Wood t:1 s:S	hw:2 [71]
214	11	Mental Health Telepsychiatry Area	1932	SRS01	Storage Room	m:VT	"m:RB h:4"""	m:GWB f:P		m:AT	m:Wood t:11 dg:T s:V	hw:5B
214	12	Mental Health Service Area	1933	OFDC2	Interview Room	m:CPT [6]	m:PRB [8]	m:GWB [5, 64] f:P		m:AT	m:Wood t:19 dg:T s:V	hw:3G
214	12	Mental Health Service Area	1934	OFA09	Office, Mental Health Service Chief	m:CPT [6]	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:19 dg:T s:S	hw:3G
214	12	Mental Health Service Area	1935	OFA09	Office, Mental Health Service Assistant Chief [2]	m:CPT [6]	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:1 dg:T s:S	hw:3E
214	12	Mental Health Service Area	1936	OFA07	Workstation, Secretary	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	12	Mental Health Service Area	1937	OFA07	Workstation, Clerical	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	12	Mental Health Service Area	1938	OFA07	Workstation, Staff Physician	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
214	12	Mental Health Service Area	1939	OFA07	Workstation, Resident	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A SECTION III – ROOM FINISHES, DOOR, AND HARDWARE SCHEDULE -147 110 Program Guide Room Finishes, Door, & Hardware Schedule PG 18-14 July 2016 Rm Cde Space Name Floor Base Wall Wain Ceiling Door HW Nr ID TLTU1 Toilet, Staff m:PT m:PT m:GWB [7, m:PT [7] m:AT m:Wood t:1 s:S
218	1	Staff and Administrative Area	1942	OFA04	Office, Unit Chief	m:CPT [6]	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:19 dg:T s:S	hw:3G
218	1	Staff and Administrative Area	1943	SEC01	Secretary / Waiting	m:CPT [6] m:LVT	"m:RB h:4"""	m:GWB [5] f:P		m:AT	m:Wood t:1 dg:T s:S m:N/A t:OPEN s:N/A	hw:3E
218	1	Staff and Administrative Area	1944	OFA04	Office, Veterans Benefits Counselor [2]	m:CPT [6]	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:19 dg:T s:S	hw:3G
218	1	Staff and Administrative Area	1945	OFA07	Workstation, Clerical	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A FA2. Support Area
218	1	Staff and Administrative Area	1946	SRS01	Storage Room	m:VT	"m:RB h:4"""	m:GWB f:P		m:AT	m:Wood t:11 dg:F s:V	hw:5B SECTION III – ROOM FINISHES, DOOR, AND HARDWARE SCHEDULE -149 Program Guide Room Finishes, Door, & Hardware Schedule PG 18-14 July 2016 ID Rm Cde Space Name Floor Base Wall Wain Ceiling Door HW Nr
220	1	Lobby and Teller Area	1947	CASH1	Staff Area / Service Window [59, 62]	m:LVT	"m:RB h:4"""	m:GWB f:P f:P			m:AT t:OPEN	hw:N/A
220	1	Lobby and Teller Area	1948	LOB01	Public Space	m:LVT	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
220	1	Lobby and Teller Area	1949	BF001	Automated Teller Machine (ATM) [59, 62]	m:LVT	"m:RB h:4"""	m:GWB f:P			m:GWB f:P t:OPEN	hw:N/A
220	2	Staff and Administrative Area	1950	OFA09	Office, Credit Union Manager [2]	m:CPT [6]	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:1 dg:T s:S	hw:3E
220	2	Staff and Administrative Area	1951	OFA09	Office, Supervisor [2]	m:CPT [6]	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:1 dg:T s:S	hw:3E
220	2	Staff and Administrative Area	1952	OFA07	Workstation, Loan / Accounts Officer	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
220	2	Staff and Administrative Area	1953	OFA07	Workstation, Clerical	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
220	2	Staff and Administrative Area	1954	RPR03	Alcove, Copier / Printer [59, 62]	m:CPT [6] m:LVT	"m:RB h:4"""	m:GWB f:P			m:GWB f:P t:OPEN	hw:N/A
220	3	Support Area	1955	SSV01	Vault [59, 62]	m:VT	"m:RB h:4"""	m:GWB f:P m:GWB f:P			m:STEEL t:30 s:X	hw:N/A [1] SECTION III – ROOM FINISHES, DOOR, AND HARDWARE SCHEDULE -150 11 Program Guide Room Finishes, Door, & Hardware Schedule PG 18-14 July 2016 ID Rm Cde Space Name Floor Base Wall Wain Ceiling Door HW Nr
220	3	Support Area	1956	SRSE1	Storage Room	m:VT	"m:RB h:4"""	m:GWB f:P		m:AT	m:Wood t:11 dg:F s:V	hw:5B
220	3	Support Area	1957	TLTU1	Toilet, Staff	"m:PT m:RES [74] m:PT [7] h:4"" m:RES [7] h:4"""		m:GWB [7, 64] f:P	"m:PT [7] h:4'-0"" m:CT [7] h:4'-0"""	m:AT	m:Wood t:1 s:S	hw:2 [71]
222	1	Dental Treatment Rooms (DTRs) Calculation	1958	CALC1	Number of DTRs							
222	2	Reception Area	1959	WRC01	Waiting	m:CPT [6] m:LVT	m:PRB [8]	m:GWB [5] f:P			m:AT t:OPEN	hw:N/A
222	2	Reception Area	1960	PLAY1	Playroom	m:CPT [6] m:LVT	m:PRB [8]	m:GWB f:P			m:AT t:OPEN	hw:N/A
222	2	Reception Area	1961	RECP1	Reception	m:CPT [6] m:LVT	m:PRB [8]	m:GWB [5] f:P		m:AT	m:Wood t:1 dg:T s:S m:N/A t:OPEN s:N/A	hw:3E
222	2	Reception Area	1962	RECP4	Kiosk, Patient Check-in	m:CPT [6] m:LVT	m:PRB [8]	m:GWB f:P			m:AT t:OPEN	hw:N/A
222	2	Reception Area	1963	CLSC2	Workstation, Patient Education	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
222	2	Reception Area	1964	SRLW1	Alcove, Wheelchair	m:CPT [6] m:LVT	m:PRB [8]	"m:GWB [54] f:P m:RWC h:4'-0"""			m:AT t:OPEN	hw:N/A
222	2	Reception Area	1965	TLTU1	Toilet, Public	"m:PT m:RES [74] m:PT [7] h:4"" m:RES [7] h:4"""		m:GWB [7, 64] f:P	"m:PT [7] h:4'-0"" m:CT [7] h:4'-0"""	m:AT	m:Wood t:19 s:S	hw:2G [71]
222	3	Dental Treatment Patient Area	1966	WRC03	Sub-Waiting	m:CPT [6] m:LVT	m:PRB [8]	m:GWB [5] f:P			m:AT t:OPEN	hw:N/A
222	3	Dental Treatment Patient Area	1967	OFDC2	Consult Room	m:CPT [6]	m:PRB [8]	m:GWB [5, 64] f:P		m:AT	m:Wood t:19 dg:T dl:LEAD s:U	hw:3G
222	3	Dental Treatment Patient Area	1968	DNXS1	X-Ray Room, Panoramic / Cephalometric	m:LVT	"m:RB h:4"""	m:GWB [50] f:P		m:AT	m:Wood t:15 s:X	hw:4Q
222	3	Dental Treatment Patient Area	1969	DNXC1	Computerized Tomography (CT) Room, Cone-Beam	m:LVT	"m:RB h:4"""	m:GWB [50] f:P		m:AT	m:Wood t:19 dl:LEAD s:S	hw:1L
222	3	Dental Treatment Patient Area	1970	DNXC2	Computerized Tomography (CT) Room, Cone-Beam Control Room	m:LVT	"m:RB h:4"""	m:GWB [50] f:P		m:AT	m:Wood t:19 dl:LEAD s:S	hw:1L
222	3	Dental Treatment Patient Area	1971	DNTG1	Dental Treatment Room (DTR), MultiFunctional	"m:RF m:RF h:4"""		m:GWB f:SC		m:AT	m:Wood t:19 s:S	hw:1L [15]
222	3	Dental Treatment Patient Area	1972	DNTG5	Dental Treatment Room (DTR), Special Needs Patient	"m:RF m:RF h:4"""		m:GWB f:SC		m:AT	m:Wood t:19 s:S	hw:1L [15]
222	3	Dental Treatment Patient Area	1973	DNTE1	Dental Treatment Room (DTR), Endodontics	"m:RF m:RF h:4"""		m:GWB f:SC		m:AT	m:Wood t:19 s:S	hw:1L [15]
222	3	Dental Treatment Patient Area	1974	XVC01	Viewing Room, Picture Archiving and Communication System	m:SVT	"m:RB h:4"""	m:GWB f:P		m:AT	m:Wood t:11 s:S	hw:3E
222	3	Dental Treatment Patient Area	1975	WRTM2	Tele-Health Room	m:SVT	"m:RB h:4"""	m:GWB f:P		m:AT	m:Wood t:19 s:S	hw:3E
222	3	Dental Treatment Patient Area	1976	WRTM1	Team Collaboration Room, Patient	m:RF	"m:RB h:4"""	m:GWB f:P		m:AT	m:Wood t:19 s:S	hw:3E SECTION III – ROOM FINISHES, DOOR, AND HARDWARE SCHEDULE -153 Program Guide Room Finishes, Door, & Hardware Schedule PG 18-14 July 2016 ID Rm Cde Space Name Floor Base Wall Wain Ceiling Door HW Nr
222	3	Dental Treatment Patient Area	1977	RCA01	Alcove, Crash Cart	m:LVT	"m:RB h:4"""	"m:GWB [54] f:P m:RWC h:4'-0"""			m:AT t:OPEN	hw:N/A
222	3	Dental Treatment Patient Area	1978	TLTU1	Toilet, Patient	"m:PT m:RES [74] m:PT [7] h:4"" m:RES [7] h:4"""		m:GWB [7, 64] f:P	"m:PT [7] h:4'-0"" m:CT [7] h:4'-0"" m:GWB f:SC"		m:Wood t:1 s:U	hw:2H
222	3	Dental Treatment Patient Area	1979	MEDP1	Medication Room	m:VT	"m:RB h:4"""	m:GWB f:P		m:AT	m:Wood t:1 dg:T ds:YES s:S	hw:SH3D
222	3	Dental Treatment Patient Area	1980	UCCL1	Clean Supply Room	"m:WSF m:WSF h:4"""		"m:GWB [54] f:SC m:RWC h:4'-0"""		m:AT f:SP	m:Wood t:11 dg:F ds:YES s:V	hw:SH3C
222	3	Dental Treatment Patient Area	1981	DNSC3	Storage, Sterile Instruments	m:RF	"m:RB h:4"""	m:GWB f:SC		m:AT f:SP	m:Wood t:1 dg:T s:U	hw:4K
222	3	Dental Treatment Patient Area	1982	SRS01	Storage, Dental Supplies	m:RF	"m:RB h:4"""	"m:GWB [54] f:SC m:RWC h:4'-0"""		m:AT f:SP	m:Wood t:11 dg:F s:V m:Wood t:11 dg:F s:SS	hw:5B
222	3	Dental Treatment Patient Area	1983	SRE01	Storage, Mobile Equipment	m:VT	"m:RB h:4"""	"m:GWB [54] f:P m:RWC h:4'-0"""		m:AT	m:Wood t:11 dg:F s:V	hw:4F
222	4	Dental Surgery Suite Patient Area	1984	WRC03	Sub-Waiting	m:CPT [6] m:LVT	m:PRB [8]	m:GWB [5] f:P			m:AT t:OPEN	hw:N/A SECTION III – ROOM FINISHES, DOOR, AND HARDWARE SCHEDULE -154 Program Guide Room Finishes, Door, & Hardware Schedule PG 18-14 July 2016 ID Rm Cde Space Name Floor Base Wall Wain Ceiling Door HW Nr
222	4	Dental Surgery Suite Patient Area	1985	TLTU1	Toilet, Patient	"m:PT m:RES [74] m:PT [7] h:4"" m:RES [7] h:4"""		m:GWB [7, 64] f:P	"m:PT [7] h:4'-0"" m:CT [7] h:4'-0"" m:GWB f:SC"		m:Wood t:1 s:U	hw:2H
222	4	Dental Surgery Suite Patient Area	1986	DNTR1	Patient Prep / Recovery Room	"m:RF m:RF h:4"""		m:GWB f:P		m:AT	m:Wood t:1 dg:T s:S	hw:1B
222	4	Dental Surgery Suite Patient Area	1987	ORSA1	Scrub Area	"m:RF m:RF h:4"""					m:GWB f:SC t:OPEN	hw:N/A
222	4	Dental Surgery Suite Patient Area	1988	DNTS1	Oral Surgery Room	"m:RF m:RF h:4"""		m:GWB f:SC m:GWB f:SC		m:AT f:SP	m:Wood t:1 [38, 41] s:XX	hw:4B [15]
222	4	Dental Surgery Suite Patient Area	1989	WRCH1	Workroom, Staff	m:RF	"m:RB h:4"""	m:GWB f:P		m:AT	m:Wood t:1 dg:T s:S	hw:4J
222	4	Dental Surgery Suite Patient Area	1990	SRE01	Storage, Equipment	m:SVT	"m:RB h:4"""	"m:GWB [54] f:P m:RWC h:4'-0"""		m:AT	m:Wood t:11 dg:F s:V	hw:4F
222	4	Dental Surgery Suite Patient Area	1991	RCA01	Alcove, Crash Cart	m:LVT	"m:RB h:4"""	"m:GWB [54] f:P m:RWC h:4'-0"""			m:AT t:OPEN	hw:N/A
222	4	Dental Surgery Suite Patient Area	1992	RCA04	Alcove, Blanket Warmer	m:LVT	"m:RB h:4"""	"m:GWB [54] f:P m:RWC h:4'-0"""			m:AT t:OPEN	hw:N/A
222	4	Dental Surgery Suite Patient Area	1993	UCCL1	Utility Room, Clean	"m:WSF m:WSF h:4"""		"m:GWB [54] f:SC m:RWC h:4'-0"""		m:AT f:SP	m:Wood t:11 dg:F ds:YES s:V	hw:SH3C
222	4	Dental Surgery Suite Patient Area	1994	USCL1	Utility Room, Soiled	"m:WSF m:WSF h:4"""		"m:GWB [54] f:SC m:RWC h:4'-0"""		m:AT [9] f:SP	m:Wood t:11 dg:F ds:YES s:V	hw:SH3C SECTION III – ROOM FINISHES, DOOR, AND HARDWARE SCHEDULE -155 Program Guide Room Finishes, Door, & Hardware Schedule PG 18-14 July 2016 ID Rm Cde Space Name Floor Base Wall Wain Ceiling Door HW Nr
222	4	Dental Surgery Suite Patient Area	1995	LCCL1	Linen Room, Clean	"m:WSF m:WSF h:4"""		"m:GWB [54] f:SC m:RWC h:4'-0"""		m:AT f:SP	m:Wood t:11 dg:F s:V	hw:SH3C
222	4	Dental Surgery Suite Patient Area	1996	LCSL2	Linen Room, Soiled	"m:WSF m:WSF h:4"""		"m:GWB [54] f:SC m:RWC h:4'-0"""		m:AT [9] f:SP	m:Wood t:11 dg:F s:V	hw:SH3C
222	5	Dental Laboratories Area	1997	DNPL1	Laboratory, General Purpose	"m:RES m:RES h:4"""		m:GWB f:SC		m:AT f:SP	m:Wood t:1 dg:T s:S	hw:4G
222	5	Dental Laboratories Area	1998	DNPC1	Laboratory, Porcelain / Ceramics	"m:RES m:RES h:4"""		m:GWB f:SC		m:AT f:SP	m:Wood t:1 dg:T s:S	hw:4G
222	5	Dental Laboratories Area	1999	DNPL5	Laboratory, Maxillo-Facial	"m:RES m:RES h:4"""		m:GWB f:SC		m:AT f:SP	m:Wood t:1 dg:T s:S	hw:4G
222	5	Dental Laboratories Area	2000	DNPL6	Laboratory, Machine Milled Restorations	"m:RES m:RES h:4"""		m:GWB f:SC		m:AT f:SP	m:Wood t:1 dg:T s:S	hw:4G
222	5	Dental Laboratories Area	2001	DNPL7	Laboratory, Acrylic Processing	"m:RES m:RES h:4"""		m:GWB f:SC		m:AT f:SP	m:Wood t:1 dg:T s:S	hw:4G
222	5	Dental Laboratories Area	2002	DNPL8	Laboratory, Acrylic Finishing	"m:RES m:RES h:4"""		m:GWB f:SC		m:AT f:SP	m:Wood t:1 dg:T s:S	hw:4G
222	5	Dental Laboratories Area	2003	DNPL9	Laboratory, Cast Metal	"m:RES m:RES h:4"""		m:GWB f:SC		m:AT f:SP	m:Wood t:1 dg:T s:S	hw:4G
222	5	Dental Laboratories Area	2004	DNSR2	Laboratory, Shipping and Receiving	"m:RES m:RES h:4"""		m:GWB f:SC		m:AT f:SP	m:Wood t:1 dg:T s:S	hw:4G
